time,latitude,longitude,depth,mag
2019-10-18T19:36:59.330Z,32.9166667,-116.3431667,3.79,1.69
2020-10-18T19:28:04.990Z,33.0476667,-115.5893333,9.99,1.23
2020-10-18T19:11:11.040Z,35.6241667,-117.4368333,5.8,0.73
2020-10-18T19:04:16.400Z,32.3945007,-115.2429962,6.83,3.34
2020-10-18T18:51:37.730Z,33.8885,-116.2791667,6.62,1.03
2020-10-18T18:28:14.340Z,17.9605,-66.9381,12,2.47
2020-10-18T18:25:19.530Z,35.8548333,-117.6606667,10.52,0.54
2020-10-18T17:58:30.110Z,33.5263333,-117.0853333,11.61,0.71
2020-10-18T17:56:27.910Z,17.8801,-66.833,16,2.39
2020-10-18T17:44:14.110Z,35.9586667,-117.3856667,2.27,2.21
2020-10-18T17:26:10.230Z,35.916,-117.7346667,8.58,1.23
2020-10-18T17:18:53.326Z,-25.0408,178.584,587.19,4.2
2020-10-18T17:16:31.190Z,33.1581667,-115.9681667,6.36,2.02
2020-10-18T17:15:53.500Z,33.1606667,-115.9658333,5.34,1.17
2020-10-18T17:07:03.920Z,17.9181,-66.919,14,2.62
2020-10-18T17:04:21.184Z,64.6481,-149.6968,19.1,1.1
2020-10-18T17:00:03.980Z,38.1803,-119.122,7,1.6
2020-10-18T16:54:41.420Z,37.6375008,-118.8838348,5.88,1.19
2020-10-18T16:54:06.315Z,-27.2918,-70.9142,33.48,4.8
2020-10-18T16:46:37.158Z,62.2563,-124.4044,3.59,4.3
2020-10-18T16:41:28.960Z,36.1225,-117.8445,1.89,1.28
2020-10-18T16:39:45.260Z,35.5931667,-117.3955,9.17,0.64
2020-10-18T16:33:18.027Z,63.2432,-151.3677,0,1.5
2020-10-18T16:29:31.590Z,38.7668343,-122.7296677,1.42,0.83
2020-10-18T16:29:04.770Z,38.1772,-117.6625,10.1,1.1
2020-10-18T16:24:08.025Z,-23.9489,-179.7568,503.42,4.6
2020-10-18T16:23:34.610Z,38.127,-118.0673,4.9,1.3
2020-10-18T16:11:35.336Z,60.5463,-149.9858,32.8,1.4
2020-10-18T16:08:12.410Z,35.611,-117.588,10.88,1.32
2020-10-18T15:56:41.986Z,63.2262,-151.3433,0,2
2020-10-18T15:46:14.560Z,38.1703,-117.8398,8,1.9
2020-10-18T15:20:21.110Z,38.1068,-118.2215,14,1.6
2020-10-18T15:14:18.920Z,38.4203,-117.9935,0.8,1.4
2020-10-18T15:01:44.300Z,48.15583333,-121.638,15.49,1.64
2020-10-18T14:58:45.400Z,48.15266667,-121.6301667,8.81,2.11
2020-10-18T14:46:59.460Z,37.6301651,-118.8850021,4.45,1.08
2020-10-18T14:45:49.231Z,36.48296356,-98.73956299,4.177432537,1.98
2020-10-18T14:38:42.280Z,-7.7912,123.4858,240.56,4.4
2020-10-18T14:36:08.550Z,17.936,-66.9871,9,2.93
2020-10-18T14:35:28.230Z,38.1682,-117.9748,1.9,1.2
2020-10-18T14:25:04.620Z,19.23083305,-155.4044952,31.40999985,2.06999993
2020-10-18T14:16:37.670Z,19.21183395,-155.3901672,30.10000038,1.82000005
2020-10-18T14:15:00.880Z,38.8078346,-122.8213348,2.21,0.76
2020-10-18T14:03:33.330Z,17.9386,-66.9843,9,3.11
2020-10-18T13:59:30.790Z,60.3037,-152.442,99.4,1.4
2020-10-18T13:57:57.100Z,17.9371,-66.9838,9,3.18
2020-10-18T13:57:25.950Z,38.1453,-118.0347,6.9,1
2020-10-18T13:53:03.138Z,61.384,-149.9464,31.9,2.2
2020-10-18T13:50:16.540Z,33.9356667,-117.0603333,18.25,0.78
2020-10-18T13:42:21.110Z,35.628,-117.4068333,10.29,0.98
2020-10-18T13:41:05.910Z,35.6773333,-117.4371667,10.74,0.48
2020-10-18T13:30:44.890Z,38.2382,-117.8287,9,0.6
2020-10-18T13:24:34.322Z,64.8326,-149.0314,15.7,0.8
2020-10-18T13:20:10.650Z,17.9328,-66.9868,9,2.95
2020-10-18T13:12:47.680Z,37.3740005,-121.7324982,6.3,1.18
2020-10-18T13:06:52.040Z,35.7443333,-117.5506667,6.79,1.06
2020-10-18T13:05:09.670Z,38.157,-118.0123,0,0.4
2020-10-18T12:35:12.150Z,46.8778333,-112.5215,11.07,0.21
2020-10-18T12:34:18.270Z,17.9681,-66.8521,12,2.18
2020-10-18T12:23:33.092Z,42.1827,142.7452,57.22,4.4
2020-10-18T12:18:27.990Z,19.22683334,-155.4069977,30.04000092,1.83000004
2020-10-18T12:17:32.530Z,38.1505,-117.9405,14.9,1.4
2020-10-18T12:00:21.420Z,38.1012,-118.2463,7.5,1.2
2020-10-18T11:59:38.420Z,46.19866667,-122.1835,0.92,1.01
2020-10-18T11:51:27.700Z,19.41799927,-155.2805023,-0.039999999,2.08
2020-10-18T11:49:24.750Z,44.5823333,-115.0618333,14.25,2.78
2020-10-18T11:36:59.423Z,-22.0708,-63.7927,535.82,4.3
2020-10-18T11:27:00.630Z,17.932,-67.078,11,2.78
2020-10-18T11:13:04.250Z,31.6449,-104.2928,5,2.7
2020-10-18T10:58:04.370Z,38.1887,-117.7762,2.9,0.5
